Entrez Id,Gene Symbol,Description,Exp. # of eQTLs,Pr. of no eQTL,FDR
56605,ERO1B,endoplasmic reticulum oxidoreductase 1 beta,0.976,0.0278,0.00356
353322,ANKRD37,ankyrin repeat domain 37,1.19,0.0281,0.00358
28647,TRAV35,T cell receptor alpha variable 35,0.976,0.0282,0.0036
7274,TTPA,alpha tocopherol transfer protein,1.04,0.0282,0.00363
83953,FCAMR,Fc fragment of IgA and IgM receptor,1,0.0283,0.00365
129285,PPP1R21,protein phosphatase 1 regulatory subunit 21,1.04,0.0285,0.00367
671,BPI,bactericidal/permeability-increasing protein,0.985,0.0285,0.0037
8572,PDLIM4,PDZ and LIM domain 4,0.988,0.0288,0.00372
85437,ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1,0.983,0.0291,0.00375
728411,GUSBP1,"glucuronidase, beta pseudogene 1",0.988,0.0291,0.00377
26128,KIF1BP,KIF1 binding protein,0.988,0.0291,0.00379
8612,PLPP2,phospholipid phosphatase 2,0.975,0.0293,0.00382
518,ATP5G3,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)",1.21,0.0293,0.00384
50515,CHST11,carbohydrate sulfotransferase 11,1.18,0.0294,0.00387
101928108,LY6L,lymphocyte antigen 6 family member L,0.989,0.0294,0.00389
7298,TYMS,thymidylate synthetase,1.14,0.0294,0.00391
1611,DAP,death associated protein,0.982,0.0297,0.00394
51604,PIGT,phosphatidylinositol glycan anchor biosynthesis class T,0.982,0.0297,0.00396
5564,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1,1.04,0.0299,0.00399
386678,KRTAP10-11,keratin associated protein 10-11,0.977,0.03,0.00401
56670,SUCNR1,succinate receptor 1,1.75,0.03,0.00404
11264,PXMP4,peroxisomal membrane protein 4,0.977,0.0305,0.00406
11340,EXOSC8,exosome component 8,0.979,0.0306,0.00409
147968,CAPN12,calpain 12,1.72,0.0306,0.00411
151393,RMDN2,regulator of microtubule dynamics 2,1.01,0.0309,0.00413
378,ARF4,ADP ribosylation factor 4,0.982,0.0314,0.00416
101927667,LINC01535,long intergenic non-protein coding RNA 1535,0.979,0.0315,0.00419
340024,SLC6A19,solute carrier family 6 member 19,1.63,0.0318,0.00421
55644,OSGEP,O-sialoglycoprotein endopeptidase,1.05,0.0322,0.00424
375295,LINC01116,long intergenic non-protein coding RNA 1116,1.06,0.0322,0.00426
54149,C21ORF91,chromosome 21 open reading frame 91,0.98,0.0324,0.00429
22948,CCT5,chaperonin containing TCP1 subunit 5,0.978,0.0324,0.00432
9897,WASHC5,WASH complex subunit 5,0.97,0.0327,0.00434
1352,COX10,"COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor",0.985,0.0331,0.00437
55511,SAGE1,sarcoma antigen 1,0.968,0.0334,0.0044
9093,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3,1.03,0.0336,0.00442
203260,CCDC107,coiled-coil domain containing 107,0.973,0.0341,0.00445
79847,MFSD13A,major facilitator superfamily domain containing 13A,1.08,0.0342,0.00448
55323,LARP6,La ribonucleoprotein domain family member 6,1.09,0.0343,0.0045
2203,FBP1,fructose-bisphosphatase 1,1.02,0.0346,0.00453
221756,SERPINB9P1,serpin family B member 9 pseudogene 1,1,0.0348,0.00456
11157,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",1.04,0.0356,0.00459
2067,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",1.01,0.0356,0.00462
1306,COL15A1,collagen type XV alpha 1 chain,1.11,0.0357,0.00465
51097,SCCPDH,saccharopine dehydrogenase (putative),1.01,0.0358,0.00467
84944,MAEL,maelstrom spermatogenic transposon silencer,1.04,0.0358,0.0047
64284,RAB17,"RAB17, member RAS oncogene family",0.976,0.0359,0.00473
144110,TMEM86A,transmembrane protein 86A,1,0.0359,0.00476
138065,RNF183,ring finger protein 183,1.01,0.0362,0.00479
28619,TRBV3-1,T cell receptor beta variable 3-1,0.969,0.0364,0.00482
55630,SLC39A4,solute carrier family 39 member 4,0.982,0.0365,0.00485
56915,EXOSC5,exosome component 5,0.982,0.0366,0.00488
64224,HERPUD2,HERPUD family member 2,0.974,0.0367,0.0049
64219,PJA1,praja ring finger ubiquitin ligase 1,1.05,0.0367,0.00493
1580,CYP4B1,cytochrome P450 family 4 subfamily B member 1,1.04,0.0372,0.00496
92840,REEP6,receptor accessory protein 6,0.992,0.0375,0.00499
388559,ZNF888,zinc finger protein 888,1.15,0.0376,0.00502
7142,TNP2,transition protein 2,1.04,0.038,0.00505
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B,1.04,0.038,0.00508
131076,CCDC58,coiled-coil domain containing 58,1.79,0.0383,0.00511
5672,PSG4,pregnancy specific beta-1-glycoprotein 4,1.01,0.0383,0.00514
6875,TAF4B,TATA-box binding protein associated factor 4b,0.994,0.0383,0.00517
3673,ITGA2,integrin subunit alpha 2,1.05,0.0384,0.0052
100874071,USP12-AS2,USP12 antisense RNA 2 (head to head),0.974,0.0386,0.00523
9997,SCO2,"SCO2, cytochrome c oxidase assembly protein",1.37,0.0386,0.00526
55030,FBXO34,F-box protein 34,0.972,0.0388,0.00529
160897,GPR180,G protein-coupled receptor 180,0.965,0.039,0.00532
3845,KRAS,"KRAS proto-oncogene, GTPase",0.995,0.0392,0.00535
6713,SQLE,squalene epoxidase,0.979,0.0397,0.00538
127731,VWA5B1,von Willebrand factor A domain containing 5B1,1.55,0.0398,0.00541
8997,KALRN,kalirin RhoGEF kinase,1.09,0.0399,0.00544
9308,CD83,CD83 molecule,0.976,0.04,0.00548
6598,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",1,0.0404,0.00551
55847,CISD1,CDGSH iron sulfur domain 1,0.986,0.0405,0.00554
3927,LASP1,LIM and SH3 protein 1,0.986,0.0408,0.00557
635,BHMT,betaine--homocysteine S-methyltransferase,0.963,0.0408,0.0056
51449,PCYOX1,prenylcysteine oxidase 1,0.963,0.0409,0.00563
80201,HKDC1,hexokinase domain containing 1,1.64,0.041,0.00566
440584,SLC2A1-AS1,SLC2A1 antisense RNA 1,0.962,0.0415,0.0057
23484,LEPROTL1,leptin receptor overlapping transcript like 1,0.967,0.0415,0.00573
100313772,MIR548M,microRNA 548m,1,0.0415,0.00576
479,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit,0.996,0.0416,0.00579
66002,CYP4F12,cytochrome P450 family 4 subfamily F member 12,1.18,0.0417,0.00582
25950,RWDD3,RWD domain containing 3,0.985,0.0418,0.00585
118491,CFAP70,cilia and flagella associated protein 70,1,0.0419,0.00589
101926917,ANKRD18CP,"ankyrin repeat domain 18C, pseudogene",0.996,0.0419,0.00592
84224,NBPF3,NBPF member 3,0.99,0.0421,0.00595
196740,VSTM4,V-set and transmembrane domain containing 4,1.02,0.0422,0.00598
646799,ZAR1L,zygote arrest 1 like,0.963,0.0422,0.00601
1370,CPN2,carboxypeptidase N subunit 2,1.39,0.0424,0.00605
402778,IFITM10,interferon induced transmembrane protein 10,1.15,0.0424,0.00608
79587,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial",0.972,0.0426,0.00611
160857,CCDC122,coiled-coil domain containing 122,0.962,0.0426,0.00614
98,ACYP2,acylphosphatase 2,0.968,0.0426,0.00617
100131816,UBE2DNL,ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene),1.12,0.0427,0.00621
6132,RPL8,ribosomal protein L8,0.989,0.0428,0.00624
4696,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3,1.51,0.0429,0.00627
84640,USP38,ubiquitin specific peptidase 38,0.977,0.0433,0.0063
345630,FBLL1,fibrillarin like 1,0.999,0.0436,0.00634
401081,C3ORF85,chromosome 3 open reading frame 85,1,0.0436,0.00637
9961,MVP,major vault protein,0.982,0.0438,0.0064
1870,E2F2,E2F transcription factor 2,1.28,0.0438,0.00643
55867,SLC22A11,solute carrier family 22 member 11,1.11,0.0438,0.00647
154865,IQUB,IQ motif and ubiquitin domain containing,0.998,0.0444,0.0065
80217,CFAP43,cilia and flagella associated protein 43,1.11,0.0444,0.00653
112849,L3HYPDH,trans-L-3-hydroxyproline dehydratase,0.959,0.0446,0.00656
55466,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4,0.975,0.0448,0.0066
57153,SLC44A2,solute carrier family 44 member 2,1.01,0.0449,0.00663
348926,FAM86EP,"family with sequence similarity 86, member A pseudogene",0.979,0.0454,0.00666
63917,GALNT11,polypeptide N-acetylgalactosaminyltransferase 11,1.11,0.0456,0.0067
22795,NID2,nidogen 2,0.988,0.0457,0.00673
79036,KXD1,KxDL motif containing 1,0.957,0.0462,0.00677
79893,GGNBP2,gametogenetin binding protein 2,0.98,0.0462,0.0068
255130,IGFBP7-AS1,IGFBP7 antisense RNA 1,0.967,0.0464,0.00683
219595,FOLH1B,folate hydrolase 1B,0.996,0.0465,0.00687
25901,CCDC28A,coiled-coil domain containing 28A,1.41,0.0466,0.0069
340094,LINC01020,long intergenic non-protein coding RNA 1020,1.53,0.0468,0.00694
55365,TMEM176A,transmembrane protein 176A,1.24,0.0469,0.00697
100188893,TOMM6,translocase of outer mitochondrial membrane 6,1.12,0.0471,0.00701
101927599,ZNF529-AS1,ZNF529 antisense RNA 1,0.964,0.0473,0.00704
83938,LRMDA,leucine rich melanocyte differentiation associated,0.962,0.0474,0.00707
3939,LDHA,lactate dehydrogenase A,0.958,0.0474,0.00711
2034,EPAS1,endothelial PAS domain protein 1,0.991,0.0478,0.00714
101927332,LINC01582,long intergenic non-protein coding RNA 1582,1.72,0.0478,0.00718
161,AP2A2,adaptor related protein complex 2 alpha 2 subunit,0.961,0.0482,0.00721
1590,CYP21A1P,"cytochrome P450 family 21 subfamily A member 1, pseudogene",0.969,0.0483,0.00725
406978,MIR199B,microRNA 199b,0.958,0.0489,0.00728
202243,CCDC125,coiled-coil domain containing 125,1.32,0.0492,0.00732
8693,GALNT4,polypeptide N-acetylgalactosaminyltransferase 4,0.957,0.0493,0.00736
51146,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",0.963,0.0493,0.00739
65993,MRPS34,mitochondrial ribosomal protein S34,1.06,0.0494,0.00743
471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,0.959,0.0496,0.00746
9721,GPRIN2,G protein regulated inducer of neurite outgrowth 2,0.997,0.0496,0.0075
4259,MGST3,microsomal glutathione S-transferase 3,1.02,0.0497,0.00753
23140,ZZEF1,zinc finger ZZ-type and EF-hand domain containing 1,0.985,0.0499,0.00757
4705,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10,0.976,0.0502,0.00761
64785,GINS3,GINS complex subunit 3,0.968,0.0504,0.00764
51171,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14,1.05,0.0506,0.00768
10713,USP39,ubiquitin specific peptidase 39,0.963,0.0509,0.00772
157697,ERICH1,glutamate rich 1,1.06,0.051,0.00775
80727,TTYH3,tweety family member 3,1,0.051,0.00779
11102,RPP14,ribonuclease P/MRP subunit p14,1.02,0.0512,0.00782
9361,LONP1,"lon peptidase 1, mitochondrial",0.95,0.0513,0.00786
11118,BTN3A2,butyrophilin subfamily 3 member A2,1.26,0.0519,0.0079
4074,M6PR,"mannose-6-phosphate receptor, cation dependent",1.68,0.0519,0.00794
51042,ZNF593,zinc finger protein 593,0.968,0.0519,0.00797
4057,LTF,lactotransferrin,0.95,0.0521,0.00801
100506371,LINC02091,long intergenic non-protein coding RNA 2091,1.49,0.0524,0.00805
129852,C2ORF73,chromosome 2 open reading frame 73,0.956,0.0526,0.00808
55069,TMEM248,transmembrane protein 248,0.968,0.0529,0.00812
100874082,HTR2A-AS1,HTR2A antisense RNA 1,0.972,0.053,0.00816
54407,SLC38A2,solute carrier family 38 member 2,0.962,0.0531,0.0082
149603,RNF187,ring finger protein 187,0.958,0.0531,0.00823
55005,RMND1,required for meiotic nuclear division 1 homolog,1.02,0.0535,0.00827
81602,CDADC1,cytidine and dCMP deaminase domain containing 1,0.963,0.0537,0.00831
23186,RCOR1,REST corepressor 1,1.08,0.0537,0.00835
54934,KANSL2,KAT8 regulatory NSL complex subunit 2,0.957,0.0537,0.00838
10207,PATJ,"PATJ, crumbs cell polarity complex component",0.952,0.0537,0.00842
9823,ARMCX2,"armadillo repeat containing, X-linked 2",0.954,0.0538,0.00846
2054,STX2,syntaxin 2,1.02,0.054,0.0085
100500857,MIR3939,microRNA 3939,1.09,0.0543,0.00854
26608,TBL2,transducin beta like 2,1.05,0.0544,0.00857
101929302,RFX3-AS1,RFX3 antisense RNA 1,0.954,0.0545,0.00861
30,ACAA1,acetyl-CoA acyltransferase 1,0.962,0.0546,0.00865
9743,ARHGAP32,Rho GTPase activating protein 32,1.02,0.0547,0.00869
100289388,KCTD21-AS1,KCTD21 antisense RNA 1,0.954,0.0549,0.00873
83857,TMTC1,transmembrane and tetratricopeptide repeat containing 1,1.02,0.0552,0.00876
389203,SMIM20,small integral membrane protein 20,0.951,0.0554,0.0088
100505741,SPATA1,spermatogenesis associated 1,0.958,0.0554,0.00884
55614,KIF16B,kinesin family member 16B,0.954,0.0554,0.00888
81618,ITM2C,integral membrane protein 2C,1.02,0.0556,0.00892
6648,SOD2,superoxide dismutase 2,0.989,0.0558,0.00896
23015,GOLGA8A,golgin A8 family member A,1.04,0.0562,0.00899
2705,GJB1,gap junction protein beta 1,0.969,0.0572,0.00903
8826,IQGAP1,IQ motif containing GTPase activating protein 1,0.973,0.0573,0.00907
203102,ADAM32,ADAM metallopeptidase domain 32,0.952,0.0575,0.00911
140862,ISM1,isthmin 1,0.948,0.0579,0.00915
152273,FGD5,"FYVE, RhoGEF and PH domain containing 5",0.989,0.0582,0.00919
6835,SURF2,surfeit 2,0.968,0.0582,0.00923
4542,MYO1F,myosin IF,0.945,0.0583,0.00927
10681,GNB5,G protein subunit beta 5,1.02,0.0584,0.00931
63897,HEATR6,HEAT repeat containing 6,0.951,0.0586,0.00935
200726,FAM237A,family with sequence similarity 237 member A,1.03,0.0592,0.00939
54795,TRPM4,transient receptor potential cation channel subfamily M member 4,0.948,0.0593,0.00943
5481,PPID,peptidylprolyl isomerase D,0.955,0.0596,0.00948
56984,PSMG2,proteasome assembly chaperone 2,0.948,0.0597,0.00952
654,BMP6,bone morphogenetic protein 6,1.39,0.0597,0.00956
23507,LRRC8B,leucine rich repeat containing 8 VRAC subunit B,0.992,0.0602,0.0096
63826,SRR,serine racemase,0.972,0.0604,0.00964
22990,PCNX1,pecanex homolog 1,1.1,0.0612,0.00968
4629,MYH11,myosin heavy chain 11,1.21,0.0614,0.00972
8496,PPFIBP1,PPFIA binding protein 1,0.952,0.0617,0.00976
5770,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",0.948,0.0622,0.00981
25831,HECTD1,HECT domain E3 ubiquitin protein ligase 1,1,0.0624,0.00985
8624,PSMG1,proteasome assembly chaperone 1,0.963,0.0626,0.00989
85025,TMEM60,transmembrane protein 60,0.957,0.0626,0.00993
4751,NEK2,NIMA related kinase 2,0.939,0.0626,0.00998
