gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
RC3H2	ENST00000373670	True	5.0	61.63	0.08112899999999999	0.041	0.171	458.0	643.47	0.7117600000000001	0.658	0.769	216.0	229.81	0.9399	0.84	1.052	6.7229	2.6525	0.71336	1.0	6.4574e-07	5.5261e-20	[]
RCAN1	ENST00000313806	True	4.0	8.4229	0.4749	0.233	1.086	83.0	115.58	0.71815	0.6	0.862	39.0	50.504	0.7722100000000001	0.597	1.009	1.4203	1.0993	1.2674	0.016394	0.89292	0.090687	[]
RCAN2	ENST00000371374	True	1.0	10.302999999999999	0.097057	0.033	0.46	102.0	138.4	0.73698	0.627	0.869	52.0	56.308	0.9234899999999999	0.738	1.164	2.7012	1.1226	0.44952	0.8388	0.16061	0.00058982	[]
RCAN3	ENST00000374395	True	7.0	9.8522	0.7105	0.403	1.331	105.0	126.7	0.82875	0.707	0.975	56.0	50.239	1.1147	0.898	1.393	0.8468600000000001	0.69928	-0.63642	0.00015087	0.67788	0.32197	[]
RCBTB1	ENST00000378302	True	14.0	27.455	0.5099199999999999	0.336	0.797	243.0	295.02	0.82368	0.741	0.916	114.0	118.24	0.9641799999999999	0.827	1.126	2.3932	1.0987	0.30494	1.548e-06	0.9918899999999999	0.0081048	[]
RCBTB2	ENST00000344532	True	18.0	27.991999999999997	0.64303	0.443	0.954	310.0	311.27	0.99592	0.907	1.094	110.0	121.79	0.9032	0.773	1.058	1.7601	0.02609	0.8364299999999999	2.2986e-09	0.88241	0.11759000000000001	[]
RCC1	ENST00000373831	True	3.0	22.016	0.13626	0.061	0.352	192.0	278.35	0.68979	0.612	0.777	109.0	113.86	0.95734	0.819	1.122	3.7771	1.8776	0.35636999999999996	0.9390799999999999	0.060913999999999996	1.9357e-06	[]
RCC2	ENST00000375436	True	4.0	27.539	0.14525	0.071	0.332	134.0	284.91	0.47031999999999996	0.408	0.543	121.0	112.96	1.0711	0.923	1.246	4.1804	3.2435	-0.59201	0.95899	0.041014999999999996	1.4502e-07	[]
RCCD1	ENST00000394258	True	15.0	14.808	1.0129	0.676	1.552	168.0	175.58	0.95683	0.843	1.087	87.0	82.26700000000001	1.0575	0.888	1.264	-0.046419999999999996	0.20754	-0.40859	1.5849000000000001e-10	0.059848	0.94015	[]
RCE1	ENST00000309657	True	4.0	14.770999999999999	0.27081	0.132	0.62	156.0	184.72	0.8445	0.741	0.964	105.0	79.47399999999999	1.3212	1.127	1.554	2.6118	0.76672	-2.2418	0.16427	0.83294	0.0027984999999999998	[]
RCHY1	ENST00000324439	True	5.0	16.054000000000002	0.31145	0.162	0.655	100.0	139.82	0.71523	0.607	0.845	37.0	45.411	0.81479	0.626	1.072	2.5712	1.2216	0.9771799999999999	0.05753	0.93905	0.0034207	[]
RCL1	ENST00000381750	True	6.0	20.64	0.2907	0.158	0.574	254.0	212.95	1.1927	1.076	1.323	105.0	79.95100000000001	1.3133	1.12	1.544	3.0032	-1.0204	-2.1933	0.061377	0.93799	0.00062899	[]
RCN1	ENST00000054950	True	8.0	13.763	0.58125	0.34	1.049	159.0	171.76	0.9257299999999999	0.813	1.056	63.0	66.666	0.94501	0.771	1.166	1.4478	0.35312	0.35155	0.0001641	0.8882899999999999	0.11155	[]
RCN2	ENST00000394885	True	5.0	14.093	0.35479	0.184	0.746	111.0	138.94	0.79893	0.684	0.935	42.0	48.636	0.8635700000000001	0.674	1.117	2.2574	0.8598100000000001	0.74495	0.028291000000000004	0.96167	0.010043	[]
RCN3	ENST00000270645	True	15.0	12.975999999999999	1.156	0.771	1.733	162.0	175.21	0.92461	0.813	1.053	59.0	72.58	0.8129	0.658	1.01	-0.52376	0.36201	1.248	3.1009e-11	0.023239	0.9767600000000001	[]
RCOR1	ENST00000262241	True	0.0	26.872	0.0	0.0	0.111	148.0	226.0	0.65486	0.572	0.751	85.0	78.325	1.0852	0.91	1.3	4.8312	1.8823	-0.5905	0.9999299999999999	7.4946e-05	1.7428e-11	[]
RCOR2	ENST00000301459	True	7.0	28.14	0.24875999999999998	0.14	0.467	208.0	285.9	0.72752	0.649	0.816	100.0	106.31	0.9406399999999999	0.799	1.111	3.714	1.6714	0.4792	0.17210999999999999	0.82786	2.1362e-05	[]
RCOR3	ENST00000419091	True	3.0	27.165	0.11044000000000001	0.049	0.285	167.0	306.78	0.5443600000000001	0.479	0.619	76.0	102.24	0.74337	0.617	0.9	4.321	2.8952	2.0317	0.9906299999999999	0.0093669	1.8745e-08	[]
RCSD1	ENST00000367854	True	6.0	18.26	0.32858000000000004	0.179	0.649	243.0	228.01	1.0657	0.959	1.185	95.0	96.852	0.98087	0.83	1.163	2.6739	-0.36006	0.14737999999999998	0.026112	0.97155	0.0023375999999999996	[]
RCVRN	ENST00000226193	True	12.0	9.1175	1.3162	0.831	1.877	110.0	116.7	0.94257	0.807	1.104	59.0	54.233000000000004	1.0879	0.881	1.351	-0.88969	0.22507	-0.5067699999999999	1.3005999999999998e-09	0.029307999999999997	0.9706899999999999	[]
RD3	ENST00000367002	True	7.0	6.8546	1.0212	0.575	1.765	110.0	130.86	0.84057	0.719	0.985	51.0	55.977	0.9110799999999999	0.727	1.15	-0.051747	0.66166	0.52088	2.1490999999999998e-05	0.29625999999999997	0.70372	[]
RD3L	ENST00000557640	True	3.0	7.1351	0.42046000000000006	0.19	1.085	71.0	97.59	0.72754	0.6	0.886	21.0	34.339	0.61154	0.433	0.881	1.4427	0.97645	1.7822	0.051181	0.8673799999999999	0.081443	[]
RDH10	ENST00000240285	True	0.0	12.855	0.0	0.0	0.233	67.0	188.66	0.35513	0.291	0.435	56.0	72.442	0.77304	0.623	0.966	3.3415	3.2134	1.5124	0.9860200000000001	0.013973	6.034299999999999e-06	[]
RDH11	ENST00000381346	True	11.0	13.550999999999998	0.81177	0.51	1.342	157.0	178.9	0.87756	0.77	1.002	80.0	73.19800000000001	1.0929	0.911	1.316	0.64575	0.59411	-0.62243	5.0106e-07	0.41348999999999997	0.5865100000000001	[]
RDH12	ENST00000551171	True	14.0	15.558	0.8998799999999999	0.593	1.405	181.0	179.56	1.008	0.892	1.14	91.0	77.182	1.179	0.994	1.403	0.36803	-0.038851	-1.2315	3.1090999999999995e-09	0.17053	0.82947	[]
RDH13	ENST00000415061	True	18.0	14.039000000000001	1.2822	0.882	1.815	228.0	205.58	1.1091	0.995	1.238	100.0	94.402	1.0593	0.9	1.251	-0.9853299999999999	-0.56733	-0.45113000000000003	5.87e-14	0.0041618	0.99584	[]
RDH14	ENST00000381249	True	6.0	6.5878	0.9107700000000001	0.495	1.694	175.0	151.36	1.1562	1.021	1.311	61.0	62.238	0.9801	0.797	1.213	0.21344000000000002	-0.69717	0.1229	0.00015049	0.44061000000000006	0.55924	[]
RDH16	ENST00000398138	True	10.0	10.795	0.9263899999999999	0.57	1.555	189.0	183.31	1.031	0.915	1.163	71.0	79.513	0.89294	0.736	1.088	0.22539	-0.15238	0.74743	5.7887e-07	0.25740999999999997	0.74259	[]
RDH5	ENST00000257895	True	15.0	14.030999999999999	1.0691	0.714	1.629	169.0	186.08	0.9082	0.8	1.032	78.0	78.73899999999999	0.99061	0.824	1.196	-0.24111999999999997	0.45427	0.06523999999999999	7.9684e-11	0.040244	0.9597600000000001	[]
RDH8	ENST00000591589	True	6.0	10.58	0.56711	0.31	1.119	200.0	208.88	0.95749	0.852	1.077	88.0	88.645	0.99272	0.835	1.185	1.3123	0.22289	0.053639	0.0013214000000000001	0.86935	0.12933	[]
RDM1	ENST00000293273	True	12.0	11.898	1.0086	0.645	1.613	140.0	152.34	0.9189799999999999	0.8	1.057	49.0	59.574	0.8225100000000001	0.653	1.044	-0.027563999999999998	0.3628	1.0726	1.4873e-08	0.11847	0.8815299999999999	[]
RDX	ENST00000405097	True	7.0	40.631	0.17228	0.097	0.324	273.0	317.89	0.8588	0.777	0.949	111.0	107.36	1.0339	0.886	1.21	4.9172	0.9133	-0.27508	0.95693	0.043065	1.3572e-09	[]
REC8	ENST00000311457	True	14.0	35.153	0.39826	0.262	0.623	263.0	333.4	0.78884	0.712	0.874	130.0	128.21	1.014	0.878	1.173	3.325	1.3988	-0.12384	2.7766999999999997e-05	0.99984	0.00013092	[]
RECK	ENST00000377966	True	25.0	51.078	0.48945	0.356	0.684	422.0	526.58	0.8014	0.739	0.869	181.0	186.13	0.97244	0.861	1.1	3.4006	1.6533	0.29443	1.4194e-10	0.9998799999999999	0.00012068	[]
RECQL	ENST00000444129	True	30.0	31.166999999999998	0.9625600000000001	0.719	1.306	315.0	332.32	0.94789	0.864	1.041	120.0	115.77	1.0365	0.893	1.206	0.19478	0.34463	-0.30759000000000003	8.6697e-20	0.003989199999999999	0.9960100000000001	[]
RECQL4	ENST00000428558	True	52.0	56.138999999999996	0.9262799999999999	0.74	1.167	1052.0	753.97	1.3953	1.326	1.468	492.0	309.56	1.5893	1.475	1.712	0.51481	-3.9376	-8.1183	5.0846e-33	0.00011728	0.9998799999999999	"[""mis_too_many"",""syn_outlier""]"
RECQL5	ENST00000317905	True	34.0	43.38399999999999	0.78371	0.595	1.043	571.0	570.24	1.0013	0.934	1.073	226.0	224.8	1.0053	0.901	1.122	1.3277	-0.011568	-0.062519	3.2938000000000004e-19	0.11508	0.88492	[]
REEP1	ENST00000538924	True	0.0	13.187999999999999	0.0	0.0	0.227	78.0	122.67	0.63585	0.529	0.768	52.0	49.758	1.0451	0.835	1.317	3.3845	1.4632	-0.24883000000000002	0.98764	0.012357	4.4629e-06	[]
REEP2	ENST00000254901	True	3.0	14.022	0.21395	0.096	0.553	101.0	157.11	0.6428699999999999	0.546	0.758	64.0	68.089	0.93994	0.768	1.157	2.7432	1.6239	0.38802	0.43618999999999997	0.5625	0.0013079	[]
REEP3	ENST00000373758	True	5.0	16.714000000000002	0.29914	0.155	0.629	91.0	126.89	0.71717	0.604	0.854	33.0	41.133	0.80228	0.607	1.073	2.6704	1.1558	0.99282	0.072547	0.92509	0.0023639	[]
REEP4	ENST00000306306	True	4.0	14.129000000000001	0.28311	0.138	0.648	153.0	169.69	0.90165	0.79	1.031	72.0	68.51100000000001	1.0509	0.868	1.279	2.5114	0.46478	-0.32999	0.13375	0.86216	0.0040885999999999995	[]
REEP5	ENST00000379638	True	6.0	9.3559	0.6413	0.35	1.263	100.0	101.82	0.98209	0.834	1.16	47.0	39.832	1.1799	0.933	1.505	1.0225	0.065555	-0.8891899999999999	0.00074668	0.7763899999999999	0.22286999999999998	[]
REEP6	ENST00000233596	True	8.0	9.5845	0.83468	0.489	1.493	113.0	109.22	1.0346	0.887	1.21	51.0	56.099	0.9091100000000001	0.725	1.148	0.477	-0.13129000000000002	0.533	1.772e-05	0.45779	0.54219	[]
REG1A	ENST00000233735	True	8.0	8.9298	0.89587	0.524	1.586	84.0	92.148	0.91158	0.763	1.093	41.0	32.036	1.2798	0.996	1.658	0.28999	0.30793000000000004	-1.24	1.1292e-05	0.37266	0.62733	[]
REG1B	ENST00000305089	True	9.0	9.3931	0.95815	0.576	1.633	116.0	88.43299999999999	1.3117	1.127	1.53	39.0	34.716	1.1234	0.869	1.467	0.11952	-1.0635	-0.5692699999999999	1.8061000000000002e-06	0.26075	0.73925	[]
REG3A	ENST00000393878	True	6.0	9.3957	0.63859	0.349	1.258	100.0	96.929	1.0317	0.877	1.218	44.0	38.579	1.1405	0.895	1.466	1.0325	-0.11316	-0.68334	0.00076144	0.78005	0.21919	[]
REG3G	ENST00000272324	True	10.0	8.6591	1.1549	0.706	1.807	117.0	90.228	1.2967	1.115	1.512	42.0	34.769	1.208	0.943	1.562	-0.4247	-1.0225	-0.9601799999999999	1.0036e-07	0.09919	0.90081	[]
REG4	ENST00000354219	True	5.0	8.9488	0.5587300000000001	0.291	1.174	86.0	86.292	0.99661	0.836	1.192	35.0	32.644	1.0722	0.818	1.421	1.2302	0.01141	-0.32287	0.0036733000000000004	0.85493	0.14139000000000002	[]
REL	ENST00000295025	True	2.0	27.608	0.072443	0.029	0.228	241.0	328.81	0.73295	0.659	0.815	110.0	117.65	0.93499	0.8	1.095	4.5421	1.7567	0.55206	0.99846	0.0015378	1.1234e-09	[]
RELA	ENST00000406246	True	1.0	25.829	0.038716	0.013	0.184	204.0	327.39	0.62311	0.555	0.7	143.0	132.13	1.0823	0.944	1.243	4.5532	2.474	-0.7405	0.9994200000000001	0.00057547	5.0584e-10	[]
RELB	ENST00000221452	True	2.0	23.388	0.085513	0.034	0.269	229.0	354.72	0.64558	0.579	0.72	163.0	165.73	0.9835299999999999	0.865	1.12	4.1217	2.4216	0.16605999999999999	0.99259	0.007409000000000001	5.2180999999999996e-08	[]
RELL1	ENST00000454158	True	0.0	10.103	0.0	0.0	0.296	127.0	167.48	0.7582800000000001	0.656	0.879	75.0	70.721	1.0605	0.879	1.285	2.9624	1.1348	-0.39838	0.96178	0.038147	7.2208e-05	[]
RELL2	ENST00000297164	True	4.0	12.589	0.31774	0.155	0.727	175.0	186.47	0.93847	0.829	1.064	68.0	68.505	0.9926299999999999	0.815	1.215	2.256	0.3048	0.047761	0.079421	0.9107	0.0098745	[]
RELN	ENST00000428762	True	22.0	187.99	0.11703	0.083	0.167	1571.0	1882.4	0.8345799999999999	0.8	0.87	715.0	690.61	1.0353	0.973	1.101	11.283	2.6037	-0.7266699999999999	1.0	2.8951e-15	4.0803999999999996e-52	[]
RELT	ENST00000064780	True	13.0	21.96	0.5919800000000001	0.384	0.941	286.0	275.05	1.0398	0.943	1.147	121.0	109.26	1.1074	0.955	1.288	1.782	-0.23945999999999998	-0.87918	9.696799999999999e-07	0.9325399999999999	0.067463	[]
REM1	ENST00000201979	True	12.0	13.765	0.8717799999999999	0.558	1.41	169.0	194.42	0.8692700000000001	0.766	0.988	70.0	76.664	0.9130799999999999	0.752	1.114	0.44333999999999996	0.6612600000000001	0.59587	6.765e-08	0.26805999999999996	0.7319399999999999	[]
REM2	ENST00000267396	True	9.0	11.729000000000001	0.7673	0.461	1.337	145.0	192.25	0.7542399999999999	0.658	0.866	67.0	79.533	0.8424200000000001	0.691	1.032	0.74274	1.2362	1.1003	9.1765e-06	0.55294	0.44705	[]
REN	ENST00000272190	True	14.0	22.429000000000002	0.6241800000000001	0.411	0.976	195.0	232.22	0.8397399999999999	0.746	0.946	107.0	94.895	1.1276	0.963	1.324	1.6588	0.8859799999999999	-0.9728899999999999	2.1241999999999997e-07	0.8917	0.1083	[]
RENBP	ENST00000393700	True	4.0	18.701	0.21389	0.104	0.489	158.0	187.98	0.84049	0.738	0.959	87.0	77.279	1.1258	0.946	1.345	3.1682	0.79338	-0.86575	0.46158000000000005	0.5382100000000001	0.00021912	[]
REP15	ENST00000310791	True	7.0	6.964	1.0052	0.567	1.751	105.0	120.26	0.87313	0.745	1.027	47.0	45.708	1.0283	0.813	1.311	-0.012722	0.50474	-0.14962	2.3324000000000002e-05	0.30864	0.69133	[]
REPIN1	ENST00000489432	True	4.0	20.424	0.19585	0.095	0.448	287.0	432.3	0.66389	0.602	0.732	167.0	192.45	0.86777	0.764	0.987	3.387	2.5352	1.4361	0.62029	0.37965	6.1264e-05	[]
REPS1	ENST00000258062	True	7.0	43.937	0.15932000000000002	0.09	0.299	327.0	428.55	0.7630399999999999	0.696	0.836	139.0	153.95	0.9029200000000001	0.786	1.039	5.1934	1.7796	0.9430700000000001	0.9871	0.012903	6.8908e-11	[]
REPS2	ENST00000357277	True	6.0	23.901	0.25104	0.136	0.495	169.0	225.3	0.75011	0.661	0.852	92.0	86.708	1.061	0.895	1.262	3.4125	1.3607	-0.44493	0.18136	0.8185399999999999	9.5263e-05	[]
RER1	ENST00000605895	True	3.0	13.969000000000001	0.21477	0.097	0.555	55.0	121.94	0.45106	0.362	0.565	60.0	50.315	1.1925	0.968	1.478	2.7351	2.199	-1.069	0.43125	0.5674	0.0013578	[]
RERE	ENST00000337907	True	3.0	64.74	0.04634	0.02	0.12	723.0	899.18	0.80407	0.756	0.855	448.0	381.59	1.174	1.086	1.269	7.1513	2.1314	-2.6618	1.0	7.4581e-09	2.5761999999999995e-23	[]
RERG	ENST00000256953	True	9.0	12.167	0.73973	0.445	1.29	106.0	117.98	0.8984700000000001	0.767	1.056	32.0	40.412	0.79185	0.597	1.064	0.8460700000000001	0.40005999999999997	1.036	1.1921e-05	0.6099899999999999	0.39	[]
RERGL	ENST00000229002	True	14.0	12.857000000000001	1.0889	0.717	1.673	110.0	100.72	1.0921	0.935	1.28	35.0	36.486999999999995	0.95924	0.732	1.272	-0.29701	-0.33544	0.19276	3.0552e-10	0.046004	0.954	[]
RESP18	ENST00000333527	True	13.0	10.911	1.1915	0.771	1.794	115.0	119.0	0.96636	0.83	1.128	47.0	48.652	0.96604	0.764	1.232	-0.58948	0.13314	0.18545	5.892999999999999e-10	0.035325	0.96467	[]
REST	ENST00000309042	True	4.0	32.745	0.12215	0.059	0.28	529.0	587.47	0.9004700000000001	0.838	0.968	232.0	205.53	1.1288	1.013	1.259	4.6816	0.87518	-1.4456	0.99393	0.0060653999999999994	1.3097e-09	[]
RET	ENST00000355710	True	2.0	52.95	0.037771	0.014	0.119	584.0	660.72	0.88389	0.825	0.946	295.0	293.23	1.006	0.914	1.108	6.5255	1.0827	-0.08077100000000001	1.0	1.1786e-07	1.0586999999999999e-19	[]
RETN	ENST00000221515	True	2.0	2.7712	0.72172	0.283	1.775	60.0	63.881	0.93925	0.762	1.165	26.0	26.409000000000002	0.9845200000000001	0.721	1.366	0.43173999999999996	0.17614000000000002	0.062264	0.039671	0.66099	0.29934	[]
RETNLB	ENST00000295755	True	2.0	2.8789	0.69472	0.274	1.756	67.0	61.423	1.0908	0.895	1.337	29.0	27.75	1.0451	0.777	1.425	0.48273999999999995	-0.25816999999999996	-0.18584	0.041939	0.67119	0.28686999999999996	[]
RETSAT	ENST00000295802	True	24.0	30.013	0.79965	0.578	1.125	339.0	344.63	0.9836600000000001	0.899	1.076	142.0	144.55	0.9823700000000001	0.856	1.129	1.0229	0.11005999999999999	0.16592	5.0239999999999996e-14	0.17954	0.8204600000000001	[]
REV1	ENST00000258428	True	8.0	62.18899999999999	0.12864	0.075	0.232	535.0	650.93	0.82189	0.765	0.883	233.0	236.97	0.9832299999999999	0.883	1.096	6.4041	1.6485	0.20215999999999998	0.9999299999999999	7.3753e-05	4.7097e-17	[]
REV3L	ENST00000358835	True	8.0	135.05	0.059236000000000004	0.034	0.107	1305.0	1613.6	0.8087300000000001	0.772	0.847	538.0	570.63	0.9428200000000001	0.878	1.012	10.189	2.7874	1.0694	1.0	1.0781000000000001e-16	6.992299999999999e-46	[]
REXO1	ENST00000170168	True	6.0	38.961999999999996	0.154	0.083	0.304	729.0	725.43	1.0049	0.945	1.068	426.0	332.64	1.2806	1.182	1.388	4.9215	-0.048113	-4.0076	0.9841	0.015895	5.6848e-10	"[""syn_outlier""]"
REXO1L1P	ENST00000379010	True	0.0	0.0	0.0	0.0	0.0	92.0	43.903999999999996	2.0955	1.67	1.99	44.0	20.598000000000003	2.1362	1.537	1.986	0.0	-2.6333	-4.0372	0.0	0.0	0.0	"[""mis_too_many"",""no_exp_lof"",""syn_outlier""]"
REXO2	ENST00000265881	True	4.0	12.737	0.31405	0.154	0.719	93.0	123.38	0.75378	0.636	0.896	39.0	42.651	0.9144	0.707	1.194	2.2815	0.99216	0.43771000000000004	0.083621	0.9072899999999999	0.009086799999999999	[]
REXO4	ENST00000371942	True	12.0	17.453	0.6875600000000001	0.44	1.114	245.0	250.98	0.97616	0.879	1.085	87.0	100.66	0.8643299999999999	0.726	1.033	1.2165	0.137	1.0657	7.2809e-07	0.72631	0.27369	[]
RFC1	ENST00000381897	True	11.0	59.542	0.18474000000000002	0.115	0.306	501.0	597.92	0.83791	0.778	0.902	208.0	209.28	0.9938899999999999	0.887	1.115	5.8629	1.4379	0.069247	0.9728100000000001	0.027191000000000003	7.2495e-13	[]
RFC2	ENST00000055077	True	12.0	19.590999999999998	0.61252	0.392	0.992	157.0	205.88	0.76259	0.669	0.871	86.0	82.273	1.0453	0.877	1.251	1.5984	1.2358	-0.32168	1.9922e-06	0.89323	0.10677	[]
RFC3	ENST00000380071	True	11.0	19.232	0.57195	0.359	0.947	191.0	189.57	1.0076	0.895	1.136	66.0	64.788	1.0187	0.834	1.25	1.7495	-0.037725999999999996	-0.11789000000000001	9.507799999999999e-06	0.93711	0.06287899999999999	[]
RFC4	ENST00000392481	True	14.0	24.465999999999998	0.57222	0.377	0.895	210.0	198.45	1.0582	0.945	1.186	68.0	70.223	0.96834	0.795	1.185	1.972	-0.29733000000000004	0.20769	4.9032e-07	0.96091	0.039092	[]
RFC5	ENST00000454402	True	9.0	21.324	0.42207	0.253	0.737	144.0	192.88	0.74657	0.651	0.857	65.0	73.829	0.88041	0.72	1.082	2.4872	1.2769	0.80453	0.0005971	0.99475	0.0046546999999999995	[]
RFESD	ENST00000458310	True	9.0	11.217	0.80235	0.483	1.396	82.0	108.82	0.75355	0.629	0.905	31.0	36.906	0.83998	0.63	1.134	0.61695	0.93265	0.76112	6.6366999999999995e-06	0.48436	0.51563	[]
RFFL	ENST00000315249	True	4.0	17.242	0.23199	0.113	0.531	149.0	203.79	0.73116	0.639	0.838	65.0	76.569	0.84891	0.694	1.044	2.9722	1.3923	1.0352	0.33182	0.6675800000000001	0.00059482	[]
RFK	ENST00000376736	True	3.0	6.8922	0.43528	0.197	1.123	66.0	81.60600000000001	0.80876	0.662	0.993	32.0	29.281999999999996	1.0928	0.824	1.468	1.3817	0.62673	-0.39321	0.046416000000000006	0.8614299999999999	0.092154	[]
RFNG	ENST00000310496	True	12.0	10.199	1.1766	0.749	1.795	148.0	156.89	0.9433299999999999	0.824	1.081	102.0	65.518	1.5568	1.325	1.828	-0.52565	0.25751	-3.5288	3.4046e-09	0.051199	0.9488	[]
RFPL1	ENST00000354373	True	3.0	3.8005	0.78937	0.352	1.747	165.0	180.52	0.91401	0.804	1.04	87.0	72.715	1.1965	1.005	1.43	0.38269000000000003	0.41916000000000003	-1.3116	0.010731999999999998	0.63302	0.35624	[]
RFPL2	ENST00000400237	True	8.0	7.2375	1.1054	0.641	1.806	216.0	221.59	0.9747899999999999	0.872	1.091	91.0	81.851	1.1118	0.937	1.323	-0.26414	0.13614	-0.7918	3.1081999999999997e-06	0.19317	0.80683	[]
RFPL3	ENST00000249007	True	6.0	3.8761	1.5479	0.769	1.936	197.0	183.48	1.0737	0.955	1.208	87.0	72.305	1.2032	1.011	1.438	-1.0054	-0.362	-1.3531	1.9222e-05	0.15517	0.8448100000000001	[]
RFPL3S	ENST00000400234	True	2.0	4.4473	0.44971000000000005	0.182	1.378	37.0	46.239	0.80018	0.614	1.053	14.0	14.847000000000001	0.94296	0.622	1.471	1.0815	0.49291999999999997	0.17207999999999998	0.086649	0.7713399999999999	0.14201	[]
RFPL4A	ENST00000434937	True	2.0	2.9334	0.68181	0.27	1.746	86.0	133.44	0.64446	0.54	0.771	39.0	52.11	0.74842	0.578	0.978	0.50789	1.49	1.4219	0.043122	0.6762	0.28068000000000004	[]
RFPL4AL1	ENST00000341750	True	1.0	2.7352	0.36561	0.127	1.548	84.0	136.08	0.61729	0.517	0.74	31.0	53.495	0.5795	0.435	0.782	0.9778100000000001	1.6196	2.408	0.20242000000000002	0.6571100000000001	0.14047	[]
RFPL4B	ENST00000441065	True	0.0	0.0	0.0	0.0	0.0	138.0	149.29	0.9243600000000001	0.804	1.065	58.0	59.663000000000004	0.9721299999999999	0.786	1.21	0.0	0.33529000000000003	0.16854	0.0	0.0	0.0	"[""no_exp_lof""]"
RFT1	ENST00000296292	True	23.0	30.178	0.7621399999999999	0.547	1.08	245.0	294.69	0.83137	0.748	0.924	118.0	123.21	0.9577399999999999	0.824	1.116	1.2178	1.0501	0.36729	5.2731e-13	0.34055	0.65945	[]
RFTN1	ENST00000334133	True	12.0	19.394000000000002	0.61875	0.395	1.003	309.0	329.14	0.9388200000000001	0.855	1.032	135.0	138.0	0.97825	0.85	1.128	1.5648	0.40266	0.20006	1.8288e-06	0.88271	0.11729	[]
RFTN2	ENST00000295049	True	12.0	23.225	0.51668	0.33	0.837	254.0	271.14	0.9368	0.845	1.039	72.0	102.6	0.70173	0.579	0.854	2.1708	0.37753000000000003	2.3655	8.5368e-06	0.98329	0.016697999999999998	[]
RFWD2	ENST00000367669	True	4.0	44.968999999999994	0.08895	0.043	0.204	219.0	354.66	0.61749	0.552	0.691	130.0	128.17	1.0143	0.879	1.173	5.6938	2.6133	-0.12689	0.9999399999999999	6.3098e-05	1.9212e-14	[]
RFWD3	ENST00000361070	True	22.0	40.751	0.53987	0.385	0.771	471.0	422.43	1.115	1.033	1.203	205.0	162.41	1.2622	1.126	1.417	2.7375	-0.85736	-2.6163	4.188e-10	0.9969399999999999	0.0030589000000000002	[]
RFX1	ENST00000254325	True	7.0	48.478	0.1444	0.081	0.271	412.0	610.81	0.67451	0.621	0.732	275.0	293.01	0.93853	0.85	1.037	5.552	2.9183	0.82378	0.99761	0.0023863000000000005	1.1126e-12	[]
RFX2	ENST00000303657	True	3.0	35.802	0.08379400000000001	0.037	0.217	294.0	464.35	0.63315	0.575	0.697	192.0	215.25	0.8919799999999999	0.792	1.005	5.1092	2.8678	1.2408	0.9996299999999999	0.00037384	7.2404e-12	[]
RFX3	ENST00000382004	True	1.0	46.456	0.021526	0.007	0.102	221.0	428.49	0.51576	0.461	0.577	192.0	159.37	1.2047	1.07	1.358	6.2155	3.6364	-2.0236	1.0	2.5702e-07	3.4955e-18	[]
RFX4	ENST00000357881	True	2.0	43.207	0.046289	0.018	0.146	297.0	431.17	0.68882	0.626	0.758	157.0	166.38	0.94365	0.828	1.077	5.8425	2.3441	0.5691	1.0	4.5076e-06	7.5809e-16	[]
RFX5	ENST00000290524	True	20.0	26.401	0.75754	0.532	1.101	311.0	340.31	0.9138799999999999	0.832	1.004	95.0	126.11	0.75333	0.637	0.893	1.161	0.57635	2.1688	2.1571e-11	0.40636	0.59364	[]
RFX6	ENST00000332958	True	16.0	52.148999999999994	0.30680999999999997	0.207	0.466	416.0	500.02	0.83196	0.767	0.902	189.0	186.27	1.0146	0.9	1.145	4.6653	1.3632	-0.15637	0.00059096	0.99941	6.6362e-08	[]
RFX7	ENST00000423270	True	1.0	47.202	0.021185	0.007	0.101	635.0	766.7	0.8282299999999999	0.775	0.884	279.0	278.31	1.0025	0.908	1.107	6.2674	1.7255	-0.03225	1.0	1.9440999999999998e-07	1.7708000000000002e-18	[]
RFX8	ENST00000428343	True	16.0	21.89	0.7309399999999999	0.494	1.11	173.0	223.36	0.77453	0.683	0.879	74.0	88.84200000000001	0.83294	0.69	1.011	1.1732	1.2225	1.2329	4.094e-09	0.56914	0.43086	[]
RFXANK	ENST00000303088	True	10.0	15.095999999999998	0.66241	0.408	1.124	142.0	152.46	0.9313899999999999	0.812	1.071	79.0	69.696	1.1335	0.944	1.367	1.2224	0.30735	-0.8726	8.7363e-06	0.7773899999999999	0.2226	[]
RFXAP	ENST00000255476	True	3.0	9.1341	0.32844	0.149	0.849	97.0	131.58	0.73717	0.624	0.873	50.0	53.742	0.93037	0.74	1.178	1.8916	1.0938	0.39965	0.10774	0.8645200000000001	0.027747000000000004	[]
RGAG1	ENST00000465301	True	1.0	21.552	0.046398	0.015	0.22	566.0	531.06	1.0658	0.994	1.142	201.0	199.48	1.0076	0.897	1.133	4.1259	-0.55008	-0.08403300000000001	0.99716	0.0028426	2.4841e-08	[]
